Date,Juilin Date,Month,Day,Year,row,Week,AM Feed,AM Transparency,PM Feed,PM Transparency,Stocked,Spring Temp (F),Max Spring (F),Min Spring (F),Daily turbi mean,Max daily turbi,Max air temp,Min air temp,Dec Rain,Calmar Rain,Year class,Strain,Lot,Sub Lot,Raceway,# fish,Morts,Sub Lot % morts,Lot % mort,Strain % mort,Comments
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Ennis,ENB6,ENB6,B6,8085,0,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Ennis,ENB7,ENB7,B7,7753,0,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,VAR,BroodsB8,BroodsB8,B8,800,2,0.3%,0.3%,0.3%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Hot Creek,HCC2,HCC2,C2,10818,0,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Ennis,ENC3,ENC3,C3,8013,0,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Shasta,STC5,STC5,C5,9524,0,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Ennis,ENC6,ENC6,C6,8524,0,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Ennis,ENC7,ENC7,C7,7661,0,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Brook,Brook,BrookP1,P1,15107,0,0.0%,0.0%,0.0%,
3/18/2019,43542,3,18,2019,77,12,N,20.4,N,16.4,X,44.1,,,,,42,21,0,0,2018,Brook,Brook,BrookP2,P2,15496,0,0.0%,0.0%,0.0%,
6/7/2022,44719,6,7,2022,523,24,Y,24.46,N,16.88,,52.5,52.7,52.2,21.0,37.1,76,55,0.01,0.11,2021,Arlee,ARA2,ARA2A2&A7A2,A2,10023,,0.0%,0.0%,0.0%,
6/7/2022,44719,6,7,2022,523,24,Y,24.46,N,16.88,,52.5,52.7,52.2,21.0,37.1,76,55,0.01,0.11,2021,Shasta,STA3,STA3A3,A3,10010,,0.0%,0.0%,0.0%,
6/7/2022,44719,6,7,2022,523,24,Y,24.46,N,16.88,,52.5,52.7,52.2,21.0,37.1,76,55,0.01,0.11,2021,Shasta,STA4,STA4A4,A4,10385,,0.0%,0.0%,0.0%,
